fold_id,test_run_id,model,weight_profile,seed_repeat,seed,samples,mae,mse,rmse,r2,mae_seconds,rmse_seconds,r2_seconds
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,1,42,2148,0.3667067990995717,0.22123044888472226,0.47035140999546526,-1.7797410253617083,1092497.296075419,1401276.5642859575,-1.7797410189910754
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,2,1042,2148,0.34884655835096834,0.21262946605246938,0.46111762713267573,-1.6716704367163668,1039287.8532355679,1373767.1691708537,-1.6716704367526791
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,3,2042,2148,0.3913008189119553,0.227286500291636,0.4767457396680499,-1.855834775712816,1165768.0967118249,1420326.6309971078,-1.8558347813390679
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,1,42,2148,0.13450154293174116,0.02420155619256457,0.1555684935729744,0.6959095867444391,400708.6122015828,463471.5242141647,0.6959095854276122
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,2,1042,2148,0.12384142419985103,0.02104649145704025,0.14507408954406797,0.735552696123017,368949.85749301675,432206.46936390374,0.7355526953989683
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,3,2042,2148,0.1868007969993389,0.044764728704348895,0.21157676787480448,0.4375351426714992,556519.1751378026,630332.0448065193,0.43753514521368086
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,1,42,2148,0.14084565929682497,0.04440372141854385,0.21072190540744418,0.44207116729137275,419609.0773716015,627785.2288907245,0.4420711687440826
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,2,1042,2148,0.11411519582933147,0.018648776255713293,0.13656052231781077,0.7656797755818439,339973.3598606104,406842.7460224148,0.7656797768352649
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,3,2042,2148,0.12642580325925745,0.04446315837401958,0.21086288998782973,0.441324347202224,376649.27015901305,628205.2529617806,0.44132434666907205
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,1,42,2148,0.20001254126437618,0.07227271362167947,0.26883584884029044,0.09189974489865926,595879.7636205773,800918.9875204106,0.09189974479805574
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,2,1042,2148,0.1925616185581378,0.06945042589321138,0.26353448710408167,0.1273615406132521,573681.885296555,785125.1070105428,0.12736154050920712
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,3,2042,2148,0.1968015184757356,0.0717256964909626,0.26781653513359216,0.09877296676976655,586313.4459115457,797882.2353640951,0.09877296786086043
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,1,42,2148,0.07625985650832402,0.010593140228399195,0.10292298202247735,0.8668981298517618,227194.2804716015,306629.3840937172,0.8668981291970074
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,2,1042,2148,0.10625415131558659,0.01692708509883992,0.13010413175160856,0.787312672707398,316553.6425130354,387607.7907235399,0.7873126728407869
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,3,2042,2148,0.1255616637962663,0.021732363001540637,0.14741900488587162,0.726934780822536,374074.81735521415,439192.4682765381,0.7269347813523036
fold_02_test_ims_ds1_b4,ims_ds1_b4,strong_pinn,strong_paris_0p003_miner_0p003,1,42,2148,0.09996338671414338,0.014514729322032563,0.12047709044475037,0.817623709702373,297812.1217928306,358926.79352525517,0.8176237100205977
fold_02_test_ims_ds1_b4,ims_ds1_b4,strong_pinn,strong_paris_0p003_miner_0p003,2,1042,2148,0.1289545893798324,0.023427192062065626,0.15305943963723906,0.7056394035620062,384183.06070437614,455996.5189593416,0.7056394044036618
fold_02_test_ims_ds1_b4,ims_ds1_b4,strong_pinn,strong_paris_0p003_miner_0p003,3,2042,2148,0.12549660999594042,0.021564355846278492,0.14684807062497787,0.7290457758704187,373881.0036866853,437491.5325506815,0.7290457782850743
fold_03_test_ims_ds2_b1,ims_ds2_b1,lstm,data_only,1,42,976,0.2779201194743853,0.09502041702115405,0.3082538191509621,-0.15666084674226544,163917.28765112706,181808.10355469224,-0.1566608561741003
fold_03_test_ims_ds2_b1,ims_ds2_b1,lstm,data_only,2,1042,976,0.28366811753278687,0.09912535183860613,0.31484178858373635,-0.2066292380693513,167307.45574948768,185693.6873061699,-0.2066292395683882
fold_03_test_ims_ds2_b1,ims_ds2_b1,lstm,data_only,3,2042,976,0.24925311839856557,0.07877644804975957,0.28067142364294867,0.04107310869517855,147009.48937756146,165540.00536400182,0.04107311511243428
fold_03_test_ims_ds2_b1,ims_ds2_b1,weak_pinn,weak_high,1,42,976,0.31064028565676227,0.12475089879451237,0.35320093260708185,-0.5185629021118228,183215.6406152664,208317.91066879153,-0.5185629064620076
fold_03_test_ims_ds2_b1,ims_ds2_b1,weak_pinn,weak_high,2,1042,976,0.34923833985758196,0.1676026808093422,0.4093930639487462,-1.0401874121226933,205980.77251895488,241460.02873118443,-1.0401873993598851
fold_03_test_ims_ds2_b1,ims_ds2_b1,weak_pinn,weak_high,3,2042,976,0.31436047603176226,0.13152692031984153,0.3626664036271371,-0.6010457941126672,185409.80891137297,213900.64558661956,-0.6010458001012402
fold_03_test_ims_ds2_b1,ims_ds2_b1,strong_pinn,strong_paris_0p003_miner_0p003,1,42,976,0.36384713998668033,0.16661865883552016,0.4081894888841703,-1.028209147607177,214597.04371772538,240750.16083608652,-1.0282091463236815
fold_03_test_ims_ds2_b1,ims_ds2_b1,strong_pinn,strong_paris_0p003_miner_0p003,2,1042,976,0.39084833411577874,0.19395989717518114,0.4404087841712301,-1.3610275131790095,230522.3466685451,259753.10081790522,-1.3610275043850537
fold_03_test_ims_ds2_b1,ims_ds2_b1,strong_pinn,strong_paris_0p003_miner_0p003,3,2042,976,0.4088859606526639,0.21293456923947784,0.46144833864635143,-1.5920016653094948,241160.93955788933,272162.2305355724,-1.5920016650335134
fold_04_test_ims_ds3_b3,ims_ds3_b3,lstm,data_only,1,42,6316,0.3403918278045012,0.1545012176149421,0.39306642901034183,-0.8625284908914901,1315174.969566656,1518694.2992489375,-0.8625284910467841
fold_04_test_ims_ds3_b3,ims_ds3_b3,lstm,data_only,2,1042,6316,0.36923028705448546,0.18448026886589378,0.4295116632478026,-1.2239291189690875,1426598.3853656268,1659508.0818488002,-1.2239291274102828
fold_04_test_ims_ds3_b3,ims_ds3_b3,lstm,data_only,3,2042,6316,0.45162752858247784,0.2769801285204069,0.5262890161502584,-2.3390246934219134,1744957.3463183977,2033427.6082335382,-2.3390246939899706
fold_04_test_ims_ds3_b3,ims_ds3_b3,weak_pinn,weak_high,1,42,6316,0.3931141189162967,0.2245532391163687,0.47387048770351664,-1.7070130063218198,1518878.5589412602,1830897.6674835018,-1.7070130049184966
fold_04_test_ims_ds3_b3,ims_ds3_b3,weak_pinn,weak_high,2,1042,6316,0.3961894077492606,0.22797669629366946,0.4774690527077849,-1.7482831440495432,1530760.5802528497,1844801.4756239508,-1.7482831430765753
fold_04_test_ims_ds3_b3,ims_ds3_b3,weak_pinn,weak_high,3,2042,6316,0.40770429557921634,0.23812732641206966,0.4879829161067728,-1.870650061850411,1575250.756320931,1885423.9855247852,-1.8706500647117066
fold_04_test_ims_ds3_b3,ims_ds3_b3,strong_pinn,strong_paris_0p003_miner_0p003,1,42,6316,0.3996161912793429,0.2301542736874103,0.47974396680668147,-1.7745340694440057,1544000.6744273275,1853591.0817849122,-1.7745340687174727
fold_04_test_ims_ds3_b3,ims_ds3_b3,strong_pinn,strong_paris_0p003_miner_0p003,2,1042,6316,0.40442296160043223,0.23396737657146563,0.48370174340337624,-1.8205014273062186,1562572.636202185,1868882.77842182,-1.8205014253122367
fold_04_test_ims_ds3_b3,ims_ds3_b3,strong_pinn,strong_paris_0p003_miner_0p003,3,2042,6316,0.4061974236624968,0.23719073678386768,0.487022316515237,-1.8593593749954556,1569428.6407319505,1881712.50735071,-1.8593593751545203
