fold_id,test_run_id,model,weight_profile,seed_repeats_run5,mae_mean_run5,mae_std_run5,rmse_mean_run5,rmse_std_run5,r2_mean_run5,rmse_seconds_mean_run5,fold_rank_by_rmse_run5,late_life_mae_mean_run5,late_life_bias_mean_run5,seed_repeats_run4,mae_mean_run4,mae_std_run4,rmse_mean_run4,rmse_std_run4,r2_mean_run4,rmse_seconds_mean_run4,fold_rank_by_rmse_run4,late_life_mae_mean_run4,late_life_bias_mean_run4,rmse_change,rmse_percent_change,abs_late_bias_change
fold_01_test_ims_ds1_b3,ims_ds1_b3,weak_pinn,weak_high,3,0.14838125471031036,0.03369651992592614,0.17073978366394896,0.03575300810503543,0.6229991418463184,508670.01279486256,1,0.13718193320144145,-0.07968913214052993,3,0.3617616973055307,0.0050431457372345,0.4447798084100791,0.0084648008670772,-1.4863050771946675,1325093.3432240274,2,0.1705710059244408,-0.148438775612867,-0.2740400247461301,-61.612514679054414,-0.06874964347233707
fold_01_test_ims_ds1_b3,ims_ds1_b3,strong_pinn,strong_paris_0p003_miner_0p003,3,0.12712888612847129,0.013379094268203936,0.18604843923769487,0.0428578512056425,0.5496917633584802,554277.7426249733,2,0.13785283170054824,-0.033350243218328295,3,0.1426348413984708,0.0245439622598762,0.1680088421436427,0.0254945757526783,0.6398860330672405,500533.9591467101,1,0.1514311236385124,-0.1513744167305119,0.018039597094052173,10.737290290131778,-0.11802417351218361
fold_01_test_ims_ds1_b3,ims_ds1_b3,lstm,data_only,3,0.3689513921208318,0.02131594962272054,0.4694049255987303,0.00785693005502319,-1.7690820792636304,1398456.7881513063,3,0.2950067576943933,0.15425040409237945,3,0.3840812916884916,0.0072627034307914,0.4689528997073927,0.0059859715300741,-1.7635355709310472,1397110.1068174576,3,0.1921693594840063,-0.1052501930819713,0.0004520258913376374,0.09639046727713656,0.04900021101040815
fold_02_test_ims_ds1_b4,ims_ds1_b4,weak_pinn,weak_high,3,0.10269189054005896,0.02484319477923474,0.1268153728866525,0.022429577878747445,0.7937151944605653,377809.881031265,1,0.07058602377587175,-0.06809777059482247,3,0.0832748952892054,0.0223020607831239,0.1077627608100419,0.0201300273623923,0.850691684224242,321048.10972399893,1,0.06134716085947,-0.0486811680112241,0.019052612076610617,17.68014473032617,0.01941660258359837
fold_02_test_ims_ds1_b4,ims_ds1_b4,strong_pinn,strong_paris_0p003_miner_0p003,3,0.1181381953633054,0.015834524224936353,0.14012820023565575,0.0172994180035712,0.7507696297115993,417471.6150117594,2,0.12388599066564387,-0.12384792630706411,3,0.1148641651549876,0.0094405655050135,0.1304248504517333,0.0085259587347396,0.7856538803308837,388563.2800465192,2,0.1021542530150344,-0.1020575089143773,0.009703349783922455,7.43980134944713,0.021790417392686806
fold_02_test_ims_ds1_b4,ims_ds1_b4,lstm,data_only,3,0.19645855943274984,0.0037372821638804454,0.2667289570259881,0.002813046154907406,0.10601141742722597,794642.1099650161,3,0.08621478561675676,-0.08259836907428723,3,0.1953016708296462,0.001892724286791,0.2276655449883729,0.0068341720776257,0.3483492880330228,678263.9229772737,3,0.2041832933243879,0.1462783295336618,0.03906341203761518,17.15824502105059,-0.06367996045937456
fold_03_test_ims_ds2_b1,ims_ds2_b1,lstm,data_only,3,0.27028045180191257,0.018435602321635207,0.30125567712588236,0.018128263951604523,-0.1074056587054794,177680.59874162133,1,0.315135086347561,0.315135086347561,3,0.1118691272513661,0.0134771912191563,0.1446672778078253,0.0116911984826663,0.7441316753347098,85324.76037536636,1,0.0762298805304878,0.0731869114654471,0.15658839931805707,108.24037176262325,0.2419481748821139
fold_03_test_ims_ds2_b1,ims_ds2_b1,weak_pinn,weak_high,3,0.3247463671820355,0.02129207595001827,0.3750868000609884,0.03008469032348901,-0.7199320361157278,221226.19499553184,2,0.45233966349491866,0.45233966349491866,3,0.1785147258094262,0.0208260588077016,0.2073208955170325,0.0235662195049219,0.4722840434326212,122277.86433527232,2,0.2254655535467479,0.2254655535467479,0.16776590454395587,80.92088553137329,0.22687410994817075
fold_03_test_ims_ds2_b1,ims_ds2_b1,strong_pinn,strong_paris_0p003_miner_0p003,3,0.38786047825170766,0.022667582662119167,0.43668220390058393,0.026824276688902957,-1.3270794420318939,257555.16406318804,3,0.5791738878058944,0.5791738878058944,3,0.4410243083370901,0.0052880214262358,0.5288349821573447,0.0022434738176585,-2.404353618408507,311906.8729886329,3,0.7832535341168699,0.7832535341168699,-0.09215277825676077,-17.425620725926652,-0.20407964631097553
fold_04_test_ims_ds3_b3,ims_ds3_b3,lstm,data_only,3,0.38708321448048816,0.05772686155638875,0.4496223694694676,0.06885052512228028,-1.4751607677608305,1737209.9964437587,1,0.5929942872695394,0.5926374962178323,3,0.4638362590885048,0.0095865526171528,0.5428417180926635,0.0091153546637196,-2.5530316956096377,2097382.433238697,3,0.7505070397616308,0.7505070397616308,-0.09321934862319586,-17.17247321203181,-0.15786954354379845
fold_04_test_ims_ds3_b3,ims_ds3_b3,weak_pinn,weak_high,3,0.3990026074149246,0.007691156157104735,0.4797741521726914,0.00733316244989788,-1.7753154040739247,1853707.7095440794,2,0.6635861173238035,0.6635861173238035,3,0.4157466276217538,0.0107268049091273,0.4970886495492624,0.0112575898564923,-1.9798004594778615,1920605.887737517,2,0.7047535522307432,0.7047535522307432,-0.01731449737657098,-3.483180996442181,-0.04116743490693975
fold_04_test_ims_ds3_b3,ims_ds3_b3,strong_pinn,strong_paris_0p003_miner_0p003,3,0.40341219218075725,0.0034050544834232613,0.48348934224176493,0.0036438207022434156,-1.8181316239152265,1868062.1225191473,3,0.6718267340417644,0.6718267340417644,3,0.4033936505306623,0.008510217460079,0.4849931412938962,0.0086151674038017,-1.836178504673324,1873872.364033825,1,0.6950141559131316,0.6950141559131316,-0.0015037990521312716,-0.3100660450824807,-0.023187421871367242
